Tarefa,categoria,cliente,descrição,Legenda,prazo,Dia,Hora,prioridade,responsável,status,Inspiração,Link entrega
09 - Entrevista Marcelo,Video,Suricato,,,23/06/2026,terça-feira,14:00:00,alta,Junior,Finalizado,,
3- Ficha Técnica não é Receita,carrossel,Full Gaz,"Card 1: O Gancho (Capa)
Visual: Fundo nos tons da identidade visual da Full Gaz. Ao fundo, com bastante desfoque, uma mão com uma pinça finalizando um prato de alta gastronomia.
Texto Principal (Tipografia Serifada Grande): Receita é para quem cozinha em casa, um guia.
Texto Secundário (Abaixo, em negrito e itálico): Ficha técnica é uma ferramenta completa para quem quer lucrar.
Card 2: A Diferença Brutal
Texto: A receita usa ""um fio de azeite"" e ""uma pitada de sal"". Ela foca no romantismo. A ficha técnica usa gramaturas exatas, rendimento real e custo por porção. Ela foca na sua margem de lucro.
Card 3: A Libertação Operacional
Texto: Quem não tem ficha técnica não tem controle. Tem uma operação que é refém da memória, do humor e do ""olhômetro"" do funcionário.
Card 4: A Tríade da Lucratividade
Visual: Fundo escuro. O texto deve ser alinhado à esquerda, criando uma escadinha lógica visual.
Texto: Uma ficha técnica milimétrica garante o inegociável na sua operação:
1. O cliente recebe o mesmo padrão, independente de quem realize o preparo.
2. Seu estoque é blindado contra desvios e quebras.
3. O seu CMV deixa de ser uma surpresa e passa a ser controlado.
Card 5: CTA 
Visual: Minimalista. Apenas o logotipo da Full Gaz em branco sobre o fundo e o texto centralizado.
Texto: A Full Gaz estrutura operações de alta resiliênicia.
Texto Menor (Abaixo): Preencha a aplicação no link da bio para reservar o seu lugar na nossa consultoria.",,23/06/2026,terça-feira,18:00:00,Baixa,Junior,Finalizado,,
Checklist do Compliance LTV (Blindagem de Origem),Estático,LTV,"Visual: Arte em formato de documento técnico de engenharia logística, exibindo de forma limpa três caixas de seleção marcadas com selos de validação de qualidade na cor da marca.
Texto na Imagem: O Protocolo LTV de Blindagem Documental na Origem:
[x] Invoice e Packing List validados item por item na fábrica.
[x] Auditoria prévia de NCM e análise de exigências de órgãos anuentes (LI).
[x] Sincronização automatizada com os novos parâmetros do Portal Único.
Legenda: No ambiente de comércio internacional da LTV, as inconformidades e os riscos fiscais são mitigados e neutralizados ainda em território asiático, antes da carga entrar no navio. Quando o contêiner inicia a jornada marítima rumo ao Brasil, toda a estrutura processual e documental já passou pelos critérios de compliance que garantem um desembaraço rápido, previsível e sem sustos na alfândega.
",,23/06/2026,terça-feira,18:00:00,Baixa,Junior,Finalizado,,
6. Lucro Real,carrossel,HDG,"Card 1 (Capa / Gancho): Existe um regime tributário que cobra imposto zero quando a empresa tem prejuízo. A maioria das empresas tem medo dele. As maiores do Brasil adoram.
Card 2 (Dor): No Simples e no Lucro Presumido, o imposto incide sobre o faturamento  independentemente do que sobrou. Mês ruim, com margem apertada ou custo alto? O DAS ou o DARF vêm do mesmo jeito.
Card 3 (Dor): Para empresas com despesas operacionais altas  folha robusta, aluguel, insumos  pagar imposto sobre faturamento é uma distorção. Você tributa receita bruta, não riqueza gerada.
Card 4 (Virada): No Lucro Real, IRPJ e CSLL incidem apenas sobre o que foi efetivamente lucrado. Mês com prejuízo: imposto zero. Além disso, créditos de PIS e COFINS sobre insumos reduzem ainda mais a carga. Para o perfil certo, é o regime mais eficiente do sistema.
Card 5 (CTA): O melhor regime é o que faz sentido para os números da sua empresa  não para o mercado em geral. A Hedge faz a simulação comparativa para você. Link na bio.",,23/06/2026,terça-feira,18:00:00,Baixa,Viviane,Finalizado,,
#10 Noivo Quis Roupa de Ovelha_ Festa Vira Caos Total!,Video,Venturini,Corte podcast,,23/06/2026,terça-feira,,Baixa,Junior,Finalizado,,
"Roteiro 2: A Mente Organizada (A Base Profissional)
",Video,Full Gaz,,,24/06/2026,quarta-feira,18:00:00,alta,Junior,Finalizado,,
CARROSSEL 3  Qual jogador você é na barbearia?,carrossel,Suricato,,,24/06/2026,quarta-feira,18:00:00,alta,Junior,Finalizado,,
Roteiro,Roteiro,animales,,,24/06/2026,quarta-feira,,Baixa,Viviane,Finalizado,,
Post 4,Video,Mineiro,,,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
"7 - ""Prontos para o Passeio? (Combo Passeio)""",Video,Aline,,,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
O Paradoxo do Tamanho Empresarial,Estático,LTV,"imagem de uma grande infraestrutura portuária industrial conectada a uma marcação gráfica de precisão de volumes menores, demonstrando flexibilidade de escala.
Texto na Imagem: ""A minha empresa ainda não tem o porte necessário para realizar importações estruturadas."" (A barreira de entrada derrubada pela Engenharia LTV).
Legenda: O mercado tradicional passou anos alimentando o mito de que o Comércio Exterior exigia investimentos financeiros astronômicos em ativos logísticos. Através do desenvolvimento da nossa infraestrutura de Carga Compartilhada Premium, a LTV adaptou a escala das compras globais à exata realidade do orçamento operacional do seu negócio, viabilizando o acesso direto às fábricas internacionais com alta previsibilidade e proteção jurídica.
",,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
O Perigo da Madeira (Alerta MAPA),Estático,Comexblog,"Visual: Foto macro em alta definição focada em um palete de madeira bruta sustentando caixas de papelão, dando zoom no carimbo internacional gravado na madeira (Selo IPPC).
Texto na Imagem: O detalhe na embalagem de madeira que pode forçar a sua carga a voltar para a Ásia.
Legenda: Você fez o planejamento tributário, pagou os impostos e o navio chegou no porto perfeitamente. No entanto, a sua carga foi bloqueada pelo Ministério da Agricultura (MAPA). O motivo? As caixas vieram apoiadas sobre paletes de madeira bruta que não passaram pelo processo de tratamento exigido por lei. Toda embalagem ou suporte de madeira rústica na importação precisa conter o carimbo internacional de fumigação (IPPC) para atestar que não há presença de pragas. A ausência desse pequeno detalhe resulta na proibição de entrada da carga e na obrigação de devolvê-la imediatamente à origem, com custos inteiramente por conta do importador.
",,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
Post,Estático,animales,,,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
Post,Estático,Hip,,,24/06/2026,quarta-feira,18:00:00,Baixa,Viviane,Finalizado,,
Vídeo 4 (Pilar 2: Desespero),Video,Renan,"[GANCHO]: (3s) O desespero bate e você acha que a solução é ir até a delegacia discutir com o delegado para soltar o preso.
[CORPO]: Se grito resolvesse problema jurídico, não precisava de juiz. Fazer barraco na delegacia só vai render uma acusação por desacato. Nos primeiros 10 minutos de uma prisão em flagrante, a única coisa que importa é blindar o preso. O preso precisa ser instruído imediatamente a ficar em silêncio absoluto. O que for dito ali, no calor da emoção e do medo, é o que o promotor vai usar no dia seguinte na audiência de custódia para pedir a prisão preventiva dele. O silêncio é a primeira grande estratégia de defesa que o sistema te dá de graça.
[CTA]: Não piore a situação de quem você ama. Siga o perfil para saber agir no momento de crise.
[DIREÇÃO VISUAL]: Vídeo mais denso, Dr. Renan falando pausadamente para passar tranquilidade. Tons escuros, color grading com contraste alto.",,25/06/2026,quinta-feira,18:00:00,alta,Junior,Finalizado,,
agenda da semana,Video,Venturini,,,25/06/2026,quinta-feira,,alta,Viviane,Finalizado,,
4 - Estoque é Cofre,carrossel,Full Gaz,"Card 1: O Gancho (Capa)
Texto Principal: Você deixaria a porta do seu cofre aberta?
Texto Secundário (Abaixo, em itálico): Então por que você não controla o seu estoque?
Card 2: O Ralo Invisível
Texto: Compras mal feitas e falta de organização não são apenas ""problemas operacionais"". São dinheiro imobilizado, parado (apodrecendo) nas suas prateleiras.
Card 3: O Diagnóstico
Texto: Muitos restaurantes sangram o próprio caixa comprando por impulso ou baseados no ""olhômetro"" da equipe. O lucro que você procura para fechar a conta do mês muitas vezes está no desperdício que você ignora.
Card 4: A Estruturação
Texto: A gestão de compras, estoque e armazenamento é a espinha dorsal de um negócio verdadeiramente rentável. Não por acaso, este é o serviço de maior impacto e o carro-chefe da nossa consultoria. Sem esse controle, o seu CMV é apenas uma ilusão.
Card 5: CTA (A Conversão)
Texto: A Full Gaz estrutura a sua gestão para que o seu estoque seja blindado e a sua margem de lucro seja real.
Texto Menor (Abaixo): Acesse o link da bio e aplique-se para uma das nossas vagas de consultoria.",,25/06/2026,quinta-feira,18:00:00,Baixa,Junior,Finalizado,,
Reels 011 - Você escolheu frete aéreo,Video,Comexblog,"Escolher modal errado destrói margem sem você perceber. ✈️🚢

Tem produto que faz sentido no aéreo.
Tem produto que só funciona no marítimo.

Quem escolhe sem estratégia fica sem estoque ou sem lucro.

Frete não é detalhe logístico.
É decisão financeira.

#FreteAéreo #FreteMarítimo #Importação #China #Logística #Marketplace #MercadoLivre #Ecommerce

",,25/06/2026,quinta-feira,18:00:00,alta,Junior,Finalizado,,
2. Recuperação Tributária,carrossel,HDG,"Card 1 (Capa / Gancho): Existe uma conta bancária que provavelmente tem dinheiro seu guardado. Ela não rende juros. E a cada mês que passa, parte desse saldo desaparece para sempre.
Card 2 (Dor): O sistema tributário brasileiro tem mais de 90 obrigações acessórias e alíquotas que mudam por setor, produto e regime. Erros de cálculo e de classificação são a regra  não a exceção. Estima-se que 9 em cada 10 empresas pagam mais do que deveriam.
Card 3 (Dor): O prazo para recuperar o que foi pago indevidamente é de 5 anos. Todo mês fechado sem auditoria é um mês prescrito. O dinheiro não volta mais.
Card 4 (Virada): A Recuperação Tributária é uma auditoria que rastreia tudo que foi pago a mais. Se não encontrar crédito, você não deve nada. Se encontrar, o valor volta para o seu caixa  em dinheiro ou abatimento de guias futuras.
Card 5 (CTA): Qual foi o seu faturamento nos últimos 12 meses? Esse número define o potencial de recuperação da sua empresa. Clique no link da bio e peça sua avaliação gratuita.
",,25/06/2026,quinta-feira,18:00:00,Baixa,Junior,Finalizado,,
Post,Estático,Hip,,,25/06/2026,quinta-feira,18:00:00,Baixa,Viviane,Finalizado,,
Post,Estático,animales,,,25/06/2026,quinta-feira,18:00:00,Baixa,Viviane,Finalizado,,
Criar roteiro 3 estático e 3 carroseis,Roteiro,Venturini,lançar na planilha,,26/06/2026,sexta-feira,,Baixa,Junior,Finalizado,https://docs.google.com/document/d/18Hq3ldIzLtLPSs7jN2N6e45Gh-eyncXxh9l21_U_88E/edit?tab=t.0#heading=h.7x30tw8kh9th,
Criar roteiro 8 carrosseis e 8 estáticos,Roteiro,LTV,lançar na planilha,,26/06/2026,sexta-feira,,Baixa,Junior,Finalizado,,
Criar roteiro 8 carrosseis e 8 estáticos,Roteiro,Comexblog,lançar na planilha,,26/06/2026,sexta-feira,,Baixa,Junior,Finalizado,,
3. 03_invest_importacao_es_alagoas_sc,Blog,HDG,"---
title: ""Implementar a Reforma Tributária: as 5 frentes que sua empresa precisa atacar antes de janeiro de 2027""
meta_description: ""Saber o que muda na Reforma Tributária não basta. Veja o passo a passo real de um projeto de implementação: sistemas, fornecedores, precificação, treinamento de equipes e o prazo de setembro de 2026 que pode definir sua competitividade.""
keywords: implementação da reforma tributária, como implementar reforma tributária, projeto reforma tributária empresa, cClassTrib, regime híbrido simples nacional, split payment, precificação reforma tributária, fornecedor simples nacional crédito, consultoria reforma tributária
author: Igor Izoton — Hedge Tax
focus_keyword: implementação da reforma tributária
---

# Implementar a Reforma Tributária: as 5 frentes que sua empresa precisa atacar antes de janeiro de 2027

Toda apresentação que faço sobre Reforma Tributária termina com a mesma pergunta, feita de jeitos diferentes:

> ""Já existe ferramenta, legislação e regulamentação suficiente para a gente planejar e implementar a Reforma de verdade — ou ainda é cedo?""

A resposta é sim, já existe. Temos a Emenda Constitucional 132/2023, a Lei Complementar 214/2025, regulamento publicado e centenas de instruções normativas e portarias da Receita Federal. As regras-chave estão postas. Vai haver ajuste pelo caminho? Vai. Mas quem espera ""tudo ficar pronto"" para começar vai descobrir que o prazo dele acabou em 1º de janeiro de 2027 — quando o PIS/COFINS deixa de existir e a CBS entra integralmente.

A questão real não é mais ""o que muda"" (já escrevi sobre isso [aqui](#)). É **o que a sua empresa precisa fazer, em que ordem, e até quando**. Um projeto sério de implementação da Reforma Tributária tem cinco frentes. Vou abrir cada uma, do jeito que a gente executa nos clientes.

## Antes de tudo: por que isso não é um problema só do fiscal

A Reforma é estrutural demais para ficar trancada no departamento tributário. Ela mexe em sistemas, em compras, em precificação, em logística e no time comercial. Por isso um projeto de implementação começa com uma **reunião de kickoff** que junta os times: contábil, fiscal, gerência, financeiro. Define-se líder de projeto, quem interage com quem, cronograma e prioridades.

Hoje, todo mundo — empresário, departamento fiscal, contador, advogado — está trocando o pneu do carro com o carro em movimento. A diferença entre as empresas que vão atravessar bem a transição e as que vão sofrer está em transformar esse caos em método. As cinco frentes abaixo são o método.

## Frente 1 — Adequação técnica: garantir que sua empresa consegue faturar em 2027

Parece básico, mas é o ponto mais urgente: **em 1º de janeiro de 2027, sua empresa precisa conseguir emitir nota fiscal e faturar sob as novas regras.** Sem isso, nenhuma discussão sofisticada de planejamento importa.

A adequação técnica significa olhar todas as operações do cliente — entradas e saídas — e parametrizar corretamente cada uma:

- **cClassTrib** (código de classificação tributária, novo campo da NF-e) para cada operação;
- **Novos CSTs de IBS/CBS**;
- **CINDOP** (código indicador de operação — que define se a operação gera ou não crédito);
- Layout atualizado de NF-e/NFS-e e obrigações acessórias (SPED/EFD).

Errar a parametrização tem duas consequências diretas. Na saída, tributar errado. Na entrada, **deixar de creditar uma despesa que seria creditável** — dinheiro deixado na mesa todo mês, silenciosamente.

E há os tratamentos especiais: reduções de alíquota, imunidades, receitas não tributadas. Cada um desses casos exige apontamento específico nas obrigações acessórias. Quem não trata corretamente perde o benefício na prática, mesmo tendo direito a ele na lei.

2026 é o ano de teste justamente para isso. Quem chega em dezembro sem os destaques de IBS/CBS rodando redondos no sistema vai virar o ano apagando incêndio.

## Frente 2 — Entradas: seus fornecedores valem mais (ou menos) do que você pensa

Uns 80% do conteúdo que circula por aí sobre Reforma trata das compras. Tem motivo: a mudança mais profunda do novo sistema é o **crédito financeiro integral**. Acaba a lógica do crédito físico do ICMS e a discussão de ""conceito de insumo"" do PIS/COFINS. Regra nova: tudo que o seu fornecedor pagou de imposto na operação vira crédito para você, salvo exceções pontuais (como bens de uso pessoal de sócios).

Só que crédito integral muda o valor relativo de cada fornecedor. O primeiro dever de casa é **mapear toda a base de fornecedores e classificá-la**: quem é do Simples Nacional, quem é do Lucro Presumido, quem é do Lucro Real. O tratamento de crédito é diferente para cada um — e o fornecedor do Simples, no modelo padrão, transfere ao comprador apenas o crédito limitado ao que efetivamente recolheu dentro do DAS.

A conta que o seu time de compras vai precisar fazer não é ""qual o menor preço"", e sim **qual o menor resultado líquido da compra**: preço menos o crédito que aquela nota gera. Um fornecedor do Lucro Real com preço 8% maior pode ser mais barato que um fornecedor do Simples mais ""em conta"", dependendo do crédito.

### O prazo que está passando despercebido: setembro de 2026

Aqui entra uma data que muita empresa do Simples — e muito comprador de empresa do Simples — ainda não registrou. A Resolução CGSN nº 186/2026 definiu que a opção pelo chamado **regime híbrido** (a empresa permanece no Simples, mas recolhe IBS e CBS ""por fora"", pelo regime regular, transferindo crédito integral aos clientes) deve ser formalizada **entre 1º e 30 de setembro de 2026**, com efeitos a partir de 1º de janeiro de 2027. A desistência é possível até o fim de novembro de 2026; depois disso, a escolha é irretratável para o semestre. Quem não optar segue no modelo padrão, com IBS/CBS dentro do DAS — e crédito limitado para o cliente.

Grandes indústrias já entenderam isso e estão fazendo eventos para os próprios fornecedores, fomentando que os do Simples avaliem o híbrido. O fornecedor B2B do Simples que ficar parado pode simplesmente perder competitividade — e perder cliente — a partir de 2027.

### Split payment: o imposto sai do seu caixa antes

Outro ponto da frente de entradas que afeta diretamente o financeiro: o **split payment**. Hoje, o dinheiro da venda entra no caixa, gira, e o imposto é pago no mês seguinte. No novo modelo, parte do imposto é retida na própria liquidação financeira da operação. Isso muda a projeção de desembolso e o capital de giro. Empresa que opera com caixa apertado precisa simular esse efeito agora, não em 2027.

## Frente 3 — Saídas: dois sistemas ao mesmo tempo até 2032

Na ponta da venda, muda a regra de origem para destino, mudam alíquotas com IBS/CBS — e, principalmente, **sua empresa vai conviver com dois sistemas de apuração simultâneos**. Em 2027 acaba o PIS/COFINS e entra a CBS, mas o ICMS segue até 2032, com a transição gradual para o IBS começando em 2029. São duas apurações, duas lógicas, rodando em paralelo por anos.

O trabalho aqui é o que chamamos de análise **as-is vs. to-be**: como a sua operação é tributada hoje versus como será em 2027, 2028, e em cada degrau da transição até 2033. O resultado é uma resposta objetiva: quanto você vai pagar de CBS, quanto vai ter de crédito, e se a conta fecha acima ou abaixo do que você paga hoje de PIS/COFINS.

- Se for **mais**, isso precisa entrar no seu preço — senão você opera no prejuízo sem perceber.
- Se for **menos**, você decide: repassa e ganha mercado, ou segura e ganha margem.

## Frente 4 — Precificação: a diferença entre sobreviver e prosperar

Precificação tributária merece frente própria porque é onde a Reforma decide quem fica vivo. Com mudança de alíquotas, crédito integral, produtos com redução de alíquota, imunidades e regimes diferenciados convivendo na mesma carteira, **precificar errado em 2027 não é perder margem — é poder operar deficitário em escala**.

Cada produto e serviço tem suas variáveis: alíquota cheia ou reduzida, imunidade, perfil de crédito dos insumos, mix B2B/B2C (o cliente PJ valoriza seu crédito; o consumidor final não). A precificação correta cruza tudo isso, período a período da transição.

E há o lado ofensivo: um vendedor que entende a Reforma vende mais. Exemplo real: sua empresa é do Lucro Real, o concorrente é do Simples padrão. Seu preço nominal é maior — mas você transfere crédito integral ao cliente PJ. ""Meu preço é maior, só que eu te dou o crédito cheio de IBS/CBS. Você já fez essa conta?"" Esse argumento fecha negócio. Mas só existe se o comercial for treinado para usá-lo.

## Frente 5 — Treinamento e planejamento permanente: o papel sozinho não implementa nada

Um estudo bonito em PDF não muda o comportamento de quem compra e de quem vende todo dia. Por isso a última frente é gente:

- **Time de compras:** treinado para distinguir fornecedor do Simples, do híbrido, do Presumido e do Real — com planilhas automáticas para simular o resultado líquido da compra em tempo real, sem precisar ligar para o fiscal a cada cotação.
- **Time comercial:** treinado para reprecificar em campo e usar o crédito como argumento de venda. Situações atípicas vão existir e exigem consulta; o dia a dia, não.
- **Time de TI:** ninguém de fora deve programar o sistema do cliente, mas o time interno precisa receber todos os apontamentos técnicos (códigos, parametrizações, layouts) mastigados para executar.

E o trabalho não termina na entrega. As regras-chave estão postas, mas instruções normativas e portarias continuam saindo. Operamos com monitoramento contínuo: a operação do cliente (NCMs comercializados e adquiridos, perfil das operações) é cruzada com cada norma nova publicada — e quando algo impacta aquele cliente específico, o consultor analisa e age. Reunião mensal de fechamento, revisão dos impostos e do planejamento.

Tem ainda a camada estratégica de longo prazo: **os incentivos fiscais de ICMS acabam em 2033**. Empresa que montou fábrica em Minas, no Sergipe ou no Ceará por causa de benefício estadual precisa se perguntar desde já se aquela logística continua fazendo sentido no mundo do IBS no destino. Em muitos casos, a resposta vai redesenhar a operação.

## Resumo: o cronograma de quem leva a sério

| Frente | O que entrega | Prazo crítico |
|---|---|---|
| Adequação técnica | Sistemas parametrizados (cClassTrib, CST IBS/CBS, CINDOP), empresa faturando em 2027 | 31/12/2026 |
| Entradas | Base de fornecedores mapeada (Simples / híbrido / Presumido / Real), simulador de resultado líquido da compra | Decisão de fornecedores do Simples: **set/2026** |
| Saídas | Apuração as-is vs. to-be em cada ano da transição (2027–2033) | Antes de fechar preços de 2027 |
| Precificação | Preço recalculado por produto/serviço, considerando crédito, alíquotas e mix de clientes | Antes de 01/01/2027 |
| Pessoas e permanência | Compras, comercial e TI treinados + monitoramento legislativo contínuo | Permanente |

## O ponto

A Reforma Tributária vai ser difícil para todo mundo — fisco, contador, advogado, empresário. A diferença não vai estar em quem sofre menos, e sim em quem se preparou em método: sistema rodando, fornecedor mapeado, preço recalculado e time treinado antes de janeiro de 2027. O papel não implementa a Reforma. Quem implementa é a sua equipe — bem assessorada e com a conta feita.

---

**Sobre a Hedge Tax.** Somos uma consultoria tributária boutique com sede em Vila Velha (ES), reconhecida como uma das principais referências em consultoria de implementação e adaptação à Reforma Tributária no Espírito Santo, com atuação em todo o país. Nosso time tem passagem por Deloitte, ArcelorMittal e Vale S.A. Conduzimos projetos completos de implementação — da parametrização técnica dos sistemas ao treinamento dos times de compras e comercial, com acompanhamento mensal permanente e área dedicada de precificação tributária. Se a sua empresa ainda não sabe quanto vai pagar de CBS em 2027, fale com a gente: **hedgeconsultoria.com**.

Fale comigo diretamente pelo WhatsApp nesse link:
https://api.whatsapp.com/send/?phone=5527999614664

Igor Izoton
CEO, Hedge Tax
+55 27 99961-4664
igor@hedgeconsultoria.com

---

*Este conteúdo tem caráter informativo e não constitui consultoria tributária individualizada. O impacto da Reforma Tributária depende da operação, do regime tributário, do mix de produtos e da base de fornecedores de cada empresa — a análise correta exige simulação com dados reais. As regras, prazos e percentuais citados baseiam-se na legislação vigente (EC 132/2023, LC 214/2025, Resolução CGSN nº 186/2026) e estão sujeitos a alteração.*
",,26/06/2026,sexta-feira,21:00:00,alta,Junior,Finalizado,,
Roteiro 7: Qualidade e Identidade (Manifesto),Video,Mineiro,"Objetivo: Foco no processo artístico, cuidado aos detalhes e personalização.
Áudio Sugerido: Locução em Voiceover (áudio gravado por cima).
Cena 1:
Visual: Colando o decalque na pele.
Locução: ""A pior coisa é fazer uma tattoo e se arrepender depois.""
Cena 2:
Visual: Preparando os equipamentos na bancada.
Locução: ""Por isso aqui eu não faço só tatuagem. Eu crio algo que combine com você, com teu estilo e que faça sentido daqui a muitos anos.""
Cena 3:
Visual: Tatuando (foco nos detalhes e traços).
Locução: ""Cada detalhe importa. Traço, encaixe, acabamento… tudo.""
Cena 4:
Visual: Mineiro levanta a cabeça e olha para a câmera enquanto tatua.
Locução: ""Tattoo boa não é só desenho bonito… é identidade.""
Cena 5:
Visual: Take bonito da tatuagem finalizada.
Locução: ""Tá esperando o quê? Manda um direct, bora marcar a sua.""
",,26/06/2026,sexta-feira,18:00:00,alta,Junior,Finalizado,,
2 - Julgamento CARF,Video,HDG,"HOOK (O Gancho) ""Sabe aquele consultor milagreiro que prometeu zerar os impostos da sua empresa usando Título da Dívida Pública? Ele acabou de colocar a sua casa na mira da Receita Federal.""
""O CARF julgou agora em março um caso assustador. Uma empresa do Simples Nacional caiu nessa exata conversa. O resultado? Um rombo de mais de um milhão e meio de reais, exclusão do Simples com data retroativa e o pior de tudo: a conta foi direto para o CPF dos administradores.""
""E não adiantou dar uma de vítima e dizer que foi enganado pela consultoria. A lei é clara: quem assina, responde. Teve até uma ex-sócia que rodou junto e ficou com os bens travados, simplesmente porque a defesa processual esqueceu de avisar que ela já tinha saído da empresa. Um erro amador.""
""Fórmula mágica para pagar menos imposto não existe. O que existe é inteligência jurídica, análise técnica e estratégia segura. Quer proteger o patrimônio da sua família e revisar seus impostos sem cair em armadilha? O link da Hedge Consultoria está na bio. Fale com quem resolve de verdade.""
","Legenda: Milagre tributário custa caro. 💸🚨
O CARF acabou de manter uma autuação de R$ 1,6 milhão contra uma empresa que tentou extinguir impostos do Simples Nacional usando Títulos da Dívida Pública. O resultado? Exclusão do regime e responsabilização direta no CPF dos sócios.
A Receita não perdoa o uso de ""atalhos"" oferecidos por consultores aventureiros. E um erro na defesa pode comprometer até quem já saiu do quadro societário.
Não coloque o patrimônio da sua família em risco. Na Hedge Consultoria, entregamos inteligência tributária com base legal sólida e segurança real.
📲 Clique no link da bio e faça uma revisão segura com nossos especialistas.
",26/06/2026,sexta-feira,,alta,Junior,Finalizado,https://www.instagram.com/p/DYxmBuIFg8t/?igsh=YnJkaTBrcXB5cngy,
